id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe
15,52,housemaid,divorced,basic.4y,no,yes,no,cellular,jul,mon,50,4,1007,0,nonexistent,1.4,92.88,-41.84,4.79,4992.83,no
16,26,self-employed,single,university.degree,no,unknown,unknown,cellular,aug,mon,126,2,1025,1,failure,-2.9,89.43,-30.2,0.88,5162.49,no
17,36,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,590,2,486,5,success,1.4,96.7,-31.39,1.21,5136.16,no
18,36,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,15,3,969,0,nonexistent,1.4,90.49,-41.08,4.88,5416.31,no
19,50,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,wed,4526,0,124,4,nonexistent,1.4,97.27,-44.11,1.27,4915.69,no
20,27,admin.,single,university.degree,no,yes,no,cellular,may,wed,45,2,744,0,nonexistent,-1.8,90.03,-29.23,1.17,5182.53,no
21,50,unemployed,single,basic.4y,no,yes,no,cellular,may,fri,167,1,982,0,nonexistent,-1.8,93.07,-47.21,1.31,4920.63,no
22,48,services,married,high.school,unknown,yes,no,telephone,may,thu,232,2,966,0,nonexistent,1.1,96.15,-37.81,4.85,5263.67,no
23,72,retired,married,basic.9y,no,yes,no,cellular,oct,thu,4314,1,150,3,nonexistent,-3.4,89.02,-47.53,4.62,4987.11,yes
24,67,technician,married,basic.4y,unknown,no,yes,telephone,dec,mon,164,20,957,0,nonexistent,-3.4,92.98,-27.57,0.75,4962.3,yes
25,47,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,144,8,1024,0,nonexistent,1.4,96.16,-40.12,5.05,5447.68,no
26,46,management,married,basic.4y,unknown,no,yes,telephone,may,fri,261,3,1040,0,nonexistent,1.1,98.5,-35.96,5.04,5061.22,no
27,34,admin.,married,university.degree,no,yes,no,telephone,may,thu,391,4,1012,0,nonexistent,1.1,91.83,-37.52,4.68,5279.24,no
28,38,technician,divorced,university.degree,no,no,no,cellular,jul,mon,2187,2,285,4,failure,1.4,96.65,-33.5,3.44,5215.03,no
29,50,self-employed,divorced,university.degree,no,yes,no,cellular,nov,thu,748,1,995,1,failure,-0.1,91.05,-40.27,4.03,5232.17,no
30,35,entrepreneur,single,basic.9y,no,no,no,cellular,nov,wed,5066,1,864,0,failure,-0.1,94.95,-34.12,2.59,5085.17,no
31,98,blue-collar,married,basic.9y,no,yes,yes,cellular,dec,mon,5119,49,21,6,nonexistent,1.4,92.91,-46.43,2.75,5276.92,no
32,61,housemaid,unknown,basic.4y,yes,yes,yes,telephone,jul,thu,227,34,968,0,nonexistent,1.4,89.69,-44.49,4.74,5149.67,yes
33,47,entrepreneur,married,university.degree,no,yes,no,telephone,may,fri,148,1,991,0,nonexistent,1.1,97.84,-36.32,4.74,5357.11,no
34,27,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,3187,2,451,1,failure,1.4,94.74,-40.91,4.66,5285.26,no
35,66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,216,3,5,2,success,-1.7,92.05,-39.06,0.91,5081.44,yes
36,40,entrepreneur,single,high.school,no,yes,no,telephone,jul,thu,68,0,998,0,nonexistent,1.4,94.1,-42.87,5,5170.59,no
37,45,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,tue,2212,0,723,5,failure,1.4,93.18,-43.11,3.35,5221.69,no
38,52,housemaid,married,university.degree,no,yes,no,telephone,may,thu,63,1,1011,0,nonexistent,1.1,90.79,-37.96,4.75,5434.97,no
39,71,retired,married,professional.course,no,no,yes,cellular,oct,thu,2028,0,36,3,nonexistent,-3.4,96.65,-40.58,0.78,4811.83,no
40,32,technician,married,professional.course,no,yes,no,cellular,jul,thu,260,1,1016,0,nonexistent,1.4,91.94,-43.04,4.85,5113.08,yes
41,30,blue-collar,married,professional.course,no,no,no,telephone,may,wed,33,8,1020,0,nonexistent,-1.8,94.75,-48.14,1.32,5226.57,no
42,56,housemaid,married,basic.6y,unknown,yes,no,telephone,may,tue,119,1,1045,0,nonexistent,1.1,93.71,-35.59,4.7,5320.77,no
43,30,self-employed,single,university.degree,no,yes,no,cellular,jul,tue,193,1,953,0,nonexistent,-2.9,92.56,-33.86,1.01,4903.6,no
44,48,admin.,married,university.degree,no,no,no,telephone,may,fri,73,9,1034,0,nonexistent,1.1,98.03,-37.34,5.02,5102.75,no
45,57,blue-collar,married,professional.course,unknown,unknown,unknown,telephone,may,tue,4454,4,476,1,failure,1.1,93.98,-47.55,2.28,4945.14,no
46,31,services,married,high.school,no,no,no,cellular,jul,mon,2814,3,160,5,success,1.4,95.02,-43.5,3.42,4873.89,no
47,35,services,single,high.school,no,no,no,cellular,jul,tue,186,0,1048,0,nonexistent,1.4,89.5,-42.65,5.01,5045.11,no
48,45,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,69,0,1015,0,nonexistent,1.4,92.38,-40,4.78,5405.85,no
49,37,services,married,high.school,unknown,no,no,cellular,jul,wed,81,2,999,0,nonexistent,1.4,94.57,-40.94,4.93,5045.11,no
50,54,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,fri,570,0,973,0,nonexistent,1.4,89.78,-41.46,4.99,5034.66,no
51,46,technician,married,university.degree,no,yes,no,cellular,nov,wed,1454,0,767,1,nonexistent,-0.1,95.4,-29.45,2.6,5058.19,no
52,25,blue-collar,married,basic.9y,no,yes,yes,telephone,may,tue,274,1,975,0,nonexistent,1.1,97.56,-37.96,4.73,5216.95,no
53,29,self-employed,married,basic.6y,unknown,no,yes,cellular,sep,thu,353,5,951,0,nonexistent,1.1,92.86,-34.94,5.06,5263.67,yes
54,45,blue-collar,divorced,basic.6y,no,unknown,unknown,telephone,jun,thu,569,9,1037,3,failure,1.4,89.09,-41.84,3.4,4964.33,no
55,41,technician,single,university.degree,no,yes,yes,cellular,nov,fri,41,0,974,0,nonexistent,-0.1,93.47,-40.32,4.03,4982.77,no
56,43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,4684,2,268,1,nonexistent,1.1,90.76,-36.42,3.27,5045.03,no
57,36,technician,single,university.degree,no,no,no,telephone,jun,tue,197,1,995,0,nonexistent,1.4,93.04,-43.38,5.15,5426.76,no
58,28,management,single,university.degree,no,no,no,telephone,jun,tue,349,1,955,0,nonexistent,1.4,93.8,-42.42,4.65,5076.48,no
59,30,blue-collar,married,university.degree,no,no,no,telephone,may,thu,563,12,986,0,nonexistent,1.1,96.15,-37.49,4.9,4978.16,no
60,56,retired,married,high.school,no,yes,no,cellular,aug,fri,1705,9,528,5,success,1.4,95.71,-31.26,3.17,5266.82,no
61,32,self-employed,married,university.degree,no,no,no,cellular,may,fri,738,1,966,1,failure,-1.8,94.1,-47.77,1.3,5211.28,yes
62,50,management,married,basic.6y,no,no,no,cellular,nov,mon,211,1,1027,1,failure,-3.4,95.7,-29.85,0.69,4821.81,yes
63,51,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,wed,54,0,967,1,failure,-0.1,94.03,-43.59,4.1,4961.98,no
64,48,technician,divorced,professional.course,no,yes,no,cellular,jul,mon,261,2,15,1,success,-1.7,95.81,-39.13,0.89,5121.38,yes
65,55,technician,married,high.school,no,yes,no,cellular,jul,tue,188,3,959,0,nonexistent,1.4,96.54,-40.73,4.77,5489.5,no
66,35,management,single,university.degree,no,no,yes,cellular,nov,mon,207,0,960,0,nonexistent,-0.1,94.5,-42.2,4.27,5071.1,no
67,38,technician,single,university.degree,no,yes,yes,cellular,jun,thu,1891,1,562,6,failure,-1.7,96.36,-41.76,3.6,5158.59,no
68,72,student,single,high.school,no,yes,unknown,cellular,jun,tue,359,8,1005,0,nonexistent,1.4,96.17,-43.46,4.81,5228.1,yes
69,44,entrepreneur,married,high.school,no,yes,no,cellular,may,fri,8,9,973,0,nonexistent,-1.8,91.4,-46.29,1.2,5017.51,no
70,31,technician,married,professional.course,no,no,no,telephone,jun,wed,697,0,288,3,failure,1.4,89.98,-36.86,4.49,5228.48,no
71,54,services,married,high.school,unknown,yes,no,cellular,jul,mon,35,33,955,0,nonexistent,1.4,90.34,-44.45,5.13,5066.02,no
72,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,fri,1090,1,562,5,nonexistent,1.1,93.58,-35.22,1.18,4948.98,no
73,36,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,3669,3,617,5,failure,-0.1,89.61,-44.4,1.33,4733.21,no
74,47,housemaid,married,basic.4y,no,no,no,cellular,aug,mon,69,2,1047,0,nonexistent,1.4,91.85,-37.61,4.75,5400.62,no
75,40,admin.,married,high.school,no,no,yes,telephone,may,mon,16,0,1042,0,nonexistent,1.1,90.51,-37.52,4.79,5071.6,no
76,35,blue-collar,married,professional.course,no,yes,yes,telephone,may,thu,2875,1,303,2,success,1.1,94.65,-35.31,2.27,5177.42,no
77,31,admin.,single,university.degree,no,yes,no,cellular,apr,thu,3691,0,635,4,failure,-1.8,93.28,-43.76,3.48,5101.74,no
78,61,management,married,university.degree,no,no,no,cellular,aug,fri,3978,3,655,5,nonexistent,1.4,91.54,-29.75,4.31,5182.08,no
79,28,admin.,single,high.school,no,yes,no,telephone,apr,mon,3979,2,710,1,nonexistent,-1.8,96.25,-43.29,3.89,4919.69,no
80,30,admin.,single,university.degree,no,yes,no,cellular,aug,wed,2627,1,488,6,failure,1.4,94.09,-45.31,0.76,4979.47,no
81,36,management,married,university.degree,no,no,yes,cellular,may,tue,244,1,1011,0,nonexistent,-1.8,94.65,-46.66,1.4,5185.78,no
82,31,blue-collar,married,high.school,no,no,no,cellular,apr,mon,197,0,1020,0,nonexistent,-1.8,93.54,-45.35,1.47,5267.37,no
83,41,technician,married,university.degree,unknown,no,no,telephone,may,wed,1034,1,342,5,success,1.1,89.79,-47.29,4.81,5001.03,no
84,90,management,married,basic.6y,no,unknown,no,cellular,apr,fri,354,19,1033,0,nonexistent,1.4,91.85,-43.25,4.98,5018.97,no
85,35,admin.,married,high.school,no,yes,yes,cellular,apr,fri,340,0,1019,0,nonexistent,-1.8,95.49,-46.11,1.4,4992.01,no
86,40,technician,single,professional.course,no,yes,no,cellular,nov,wed,186,0,1006,1,failure,-0.1,95.71,-40.69,4.28,5320.49,no
87,27,technician,single,university.degree,no,no,no,cellular,aug,wed,99,1,996,0,nonexistent,1.4,92.5,-37.21,4.93,5060.8,no
88,39,services,married,high.school,no,yes,yes,cellular,may,tue,205,0,1004,0,nonexistent,-1.8,95.12,-44.21,1.33,5195.98,no
89,48,unemployed,married,basic.4y,unknown,yes,no,cellular,apr,fri,71,0,994,0,nonexistent,-1.8,88.88,-47.99,1.38,5226.57,no
90,27,management,unknown,basic.4y,no,no,unknown,telephone,jul,wed,4439,4,609,3,failure,-1.8,94.33,-47.93,0.95,5260.95,no
91,29,management,single,high.school,no,no,no,cellular,nov,tue,74,0,1008,0,nonexistent,-0.1,95.62,-42.75,4.06,5029.53,no
92,95,admin.,married,basic.6y,yes,unknown,no,telephone,dec,mon,3238,23,838,1,success,-1.8,91.98,-39.67,1.69,5006.59,no
93,23,student,single,unknown,no,yes,no,cellular,aug,fri,1422,1,113,1,success,-2.9,93.99,-38.01,2.52,4997.93,yes
94,45,management,married,university.degree,no,no,yes,telephone,may,wed,101,5,974,0,nonexistent,1.1,93.52,-36.76,4.66,5253.29,no
95,59,retired,married,high.school,no,yes,no,cellular,jul,fri,1514,16,1040,0,nonexistent,1.4,96.17,-40.86,5.06,5228.1,yes
96,38,management,married,university.degree,no,no,yes,cellular,may,thu,3596,1,762,2,failure,-1.8,94.41,-39.19,2.67,4716.26,no
97,36,technician,married,professional.course,no,no,yes,cellular,jul,mon,304,2,915,5,failure,1.4,93.21,-50.37,4.25,4992.48,no
98,24,admin.,single,high.school,no,yes,no,cellular,apr,wed,434,1,1016,0,nonexistent,-1.8,91.67,-45.31,1.34,5144.99,yes
99,32,self-employed,married,university.degree,no,no,no,cellular,may,fri,190,0,960,0,nonexistent,-1.8,97.53,-44.62,1.34,5144.99,no
100,86,unemployed,single,illiterate,no,no,yes,telephone,jul,tue,113,11,970,0,nonexistent,1.4,91.38,-42.01,4.83,5311.74,yes
101,53,blue-collar,married,high.school,no,no,no,telephone,jun,mon,4090,1,263,2,failure,1.4,91.84,-30.66,3.32,4985.58,no
102,28,services,single,high.school,no,yes,yes,telephone,may,tue,192,1,866,5,success,1.1,90.26,-37.44,4.93,4753.54,no
103,32,admin.,married,university.degree,no,no,no,cellular,may,thu,358,2,1009,0,nonexistent,-1.8,89.54,-47.03,1.25,5139.89,no
104,98,retired,single,basic.4y,no,unknown,yes,cellular,dec,tue,61,23,1008,0,nonexistent,-0.1,89.19,-42.92,4.02,5252.95,no
105,24,technician,single,university.degree,no,no,no,cellular,jul,fri,2012,2,109,6,failure,-1.7,93.42,-51.83,0.65,4796.11,no
106,95,admin.,single,university.degree,yes,unknown,no,cellular,jun,thu,162,15,1039,0,nonexistent,-1.8,92.42,-48.51,1.32,5333.65,yes
107,69,housemaid,unknown,basic.9y,unknown,unknown,yes,telephone,apr,wed,4187,12,575,2,success,1.4,96.74,-32.06,1.24,5194.27,no
108,44,unemployed,married,basic.4y,no,yes,yes,telephone,jun,fri,243,1,857,3,success,1.4,97.43,-47.55,1.21,5045.53,no
109,45,blue-collar,divorced,basic.6y,unknown,no,no,cellular,apr,wed,3783,5,241,2,nonexistent,-1.8,97.89,-36.11,2.07,5267.08,no
110,41,technician,married,professional.course,no,no,no,cellular,aug,tue,180,1,1021,0,nonexistent,1.4,90.73,-36.06,5.1,5463.36,no
111,44,management,married,university.degree,no,yes,no,cellular,apr,thu,137,1,996,0,nonexistent,-1.8,94.28,-47.99,1.4,4997.11,no
112,37,admin.,single,university.degree,no,yes,no,cellular,jul,thu,430,6,510,1,success,1.4,92.19,-38.25,4.03,5401.55,no
113,28,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,fri,335,1,1027,0,nonexistent,1.4,97.67,-43.47,4.97,5348.34,no
114,41,blue-collar,single,basic.9y,no,no,no,telephone,jul,thu,1164,3,931,6,success,1.4,94.06,-48.66,1.7,5145.38,no
115,30,admin.,single,high.school,no,yes,no,cellular,aug,tue,195,1,1036,0,nonexistent,1.4,92.88,-35.73,4.8,5296.06,no
116,27,services,single,high.school,no,yes,no,cellular,may,fri,84,4,988,0,nonexistent,-1.8,97.35,-45.92,1.35,4976.72,no
117,37,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,tue,62,3,968,0,nonexistent,1.4,90.25,-41.8,4.75,5437.22,no
118,39,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,jun,mon,137,2,1024,0,nonexistent,1.4,92.1,-42.13,4.98,5092.16,no
119,33,unemployed,married,high.school,no,yes,no,cellular,nov,thu,586,1,1046,0,nonexistent,-0.1,89.47,-39.98,4.16,5024.33,yes
120,26,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,tue,187,4,976,0,nonexistent,1.4,94.48,-44.45,4.88,5045.11,no
121,31,admin.,married,high.school,no,no,no,telephone,may,thu,314,0,1004,0,nonexistent,1.1,95.68,-37.49,4.8,5414.21,no
122,33,blue-collar,single,basic.9y,unknown,no,no,cellular,may,mon,127,3,969,0,nonexistent,-1.8,97.53,-43.98,1.26,5175.58,no
123,45,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,may,wed,4523,0,647,0,failure,1.1,92.5,-26.18,3.54,5073.26,no
124,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,239,2,1046,0,nonexistent,1.1,93.71,-37.12,4.67,5061.22,no
125,32,housemaid,divorced,high.school,no,no,no,telephone,may,fri,553,2,1027,0,nonexistent,1.1,92.58,-35.74,5.1,5351.92,yes
126,50,management,married,university.degree,no,yes,no,cellular,nov,tue,111,1,980,0,nonexistent,-0.1,88.72,-43.34,4.17,5159.42,no
127,58,unemployed,married,basic.9y,no,yes,no,cellular,mar,mon,2513,1,911,3,failure,-1.8,93.27,-30.09,2.81,4994,yes
128,53,blue-collar,married,basic.4y,no,yes,no,cellular,aug,fri,347,2,1024,0,nonexistent,1.4,94.84,-34.98,4.78,5254.24,no
129,34,services,married,high.school,no,no,yes,telephone,may,fri,627,1,964,0,nonexistent,1.1,89.29,-35.74,4.88,5066.41,no
130,35,admin.,single,university.degree,no,yes,no,cellular,may,mon,72,0,1045,1,failure,-1.8,95.02,-45.13,1.31,5012.41,no
131,52,admin.,divorced,high.school,no,yes,no,cellular,jul,fri,94,3,1047,0,nonexistent,1.4,91.94,-41.58,4.96,5228.1,no
132,31,services,married,high.school,no,no,no,cellular,nov,wed,381,2,216,4,failure,-0.1,94.87,-36.62,3.5,5202.25,no
133,37,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue,1317,0,281,0,nonexistent,1.4,93.27,-30.8,2.98,5135.55,no
134,34,technician,married,high.school,no,no,no,telephone,jul,thu,109,5,1031,0,nonexistent,1.4,91.19,-44.53,4.84,5102.62,no
135,27,services,single,high.school,no,yes,no,cellular,may,mon,2449,8,825,3,nonexistent,-1.8,96.72,-36.92,4.17,5157.84,no
136,28,blue-collar,single,high.school,no,yes,no,cellular,may,wed,4059,0,725,3,failure,-1.8,94.83,-37.25,4.02,4953.12,yes
137,36,services,married,high.school,no,yes,no,cellular,may,fri,79,2,1011,1,failure,-1.8,92.14,-44.67,1.22,5318.36,no
138,34,technician,single,professional.course,unknown,yes,no,cellular,jul,thu,109,5,1026,0,nonexistent,1.4,97.86,-42.74,5.02,5369.25,no
139,44,management,married,professional.course,no,yes,no,telephone,may,tue,1372,0,767,6,failure,1.1,91.47,-43.47,2.77,5093.09,no
140,29,admin.,single,high.school,no,no,yes,cellular,jul,mon,4423,2,97,3,nonexistent,1.4,95.51,-34.35,3.69,5349.26,no
141,32,technician,single,professional.course,no,yes,no,cellular,aug,wed,293,0,1032,0,nonexistent,1.4,90.36,-35.08,5.04,5452.9,no
142,39,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,216,8,997,0,nonexistent,1.4,93.91,-44.45,4.81,5280.38,no
143,48,technician,married,professional.course,no,no,no,cellular,aug,wed,490,1,1004,0,nonexistent,1.4,92.69,-36.71,5.2,5364.03,no
144,23,services,single,high.school,no,no,no,telephone,may,tue,186,1,962,0,nonexistent,1.1,93.24,-35.89,4.9,5403.83,no
145,26,admin.,single,high.school,no,no,no,telephone,aug,fri,3966,1,1002,0,nonexistent,-1.7,91.01,-38.29,0.88,5056.49,no
146,44,admin.,married,basic.9y,no,yes,no,cellular,may,mon,173,1,586,5,failure,-1.8,98.12,-52.13,1.3,5177.03,no
147,35,self-employed,divorced,basic.4y,no,yes,no,telephone,jun,thu,797,0,180,0,nonexistent,1.4,90.16,-29.33,4.95,5136.31,no
148,36,admin.,single,university.degree,no,no,no,cellular,aug,mon,98,2,1010,0,nonexistent,1.4,94.37,-34.9,4.99,4982.37,no
149,47,services,married,high.school,no,no,no,cellular,nov,tue,3102,1,237,5,failure,-0.1,97.31,-31.09,0.74,5001.66,no
150,28,blue-collar,single,basic.6y,no,no,no,cellular,jul,fri,231,0,153,6,success,1.4,98.44,-39.93,2.42,4986.5,no
151,34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,1075,3,788,5,nonexistent,1.4,96.55,-47.63,4.33,5120.81,no
152,27,admin.,married,high.school,no,yes,no,telephone,may,tue,1618,1,158,2,failure,1.1,89.6,-48.46,3.66,5274.27,no
153,32,admin.,single,university.degree,no,yes,no,cellular,apr,thu,84,1,1015,0,nonexistent,-1.8,95.49,-46.53,1.35,4961.42,no
154,58,admin.,divorced,high.school,unknown,no,no,cellular,may,fri,316,3,973,1,failure,-1.8,94.37,-44.21,1.23,4879.83,no
155,57,retired,married,university.degree,unknown,yes,no,cellular,aug,mon,169,0,978,0,nonexistent,1.4,89.23,-35.37,4.75,5055.57,no
156,36,technician,single,university.degree,no,yes,no,cellular,may,tue,445,2,983,0,nonexistent,-1.8,95.12,-43.89,1.32,5012.41,no
157,20,student,single,high.school,no,yes,no,cellular,oct,fri,153,1,988,0,nonexistent,-3.4,91.96,-26.65,0.7,4766.62,yes
158,40,entrepreneur,married,high.school,no,yes,no,telephone,jun,thu,1754,0,591,1,nonexistent,1.4,93.89,-46.93,3.97,5429.84,no
159,31,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,192,11,1003,0,nonexistent,1.4,93.99,-43.34,4.85,5086.94,no
160,36,admin.,married,university.degree,no,yes,no,telephone,jun,fri,11,2,1021,0,nonexistent,1.4,96.44,-40.83,4.97,5201.95,no
161,57,entrepreneur,married,basic.4y,no,no,no,cellular,nov,mon,107,2,1046,0,nonexistent,-0.1,89.84,-40.61,4.25,5195.8,no
162,28,admin.,single,high.school,no,yes,yes,telephone,jun,thu,14,10,960,0,nonexistent,1.4,98.52,-43.38,4.91,5452.9,no
163,36,admin.,married,professional.course,no,yes,yes,cellular,aug,fri,147,4,962,0,nonexistent,1.4,95.59,-37,4.95,5353.57,no
164,35,technician,single,high.school,no,yes,no,cellular,apr,thu,44,1,1002,0,nonexistent,-1.8,88.79,-48.84,1.39,5201.08,no
165,29,technician,single,high.school,no,yes,no,telephone,may,wed,2079,4,91,0,failure,-1.8,97.52,-33.39,4.49,4980.37,no
166,44,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,309,1,1005,0,nonexistent,1.1,90.14,-36.14,4.8,5362.3,no
167,81,student,married,professional.course,no,no,no,cellular,nov,mon,554,2,983,0,nonexistent,1.4,90.34,-43.72,5.11,5018.97,no
168,34,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1064,1,510,6,failure,-2.9,92.66,-49.4,4.47,4789.58,no
169,35,admin.,single,university.degree,no,no,no,cellular,aug,fri,119,1,959,0,nonexistent,1.4,90.36,-34.33,5.18,5243.78,no
170,36,services,married,high.school,unknown,yes,no,cellular,may,wed,393,1,1007,1,failure,-1.8,92.33,-48.14,1.26,5037.91,no
171,28,admin.,married,unknown,no,no,no,cellular,jul,mon,213,6,1026,0,nonexistent,1.4,90.91,-40.99,4.93,5113.08,no
172,37,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,228,0,969,0,nonexistent,1.1,91.55,-36.61,4.74,5035.26,no
173,46,services,single,basic.9y,no,yes,no,cellular,apr,mon,16,5,954,0,nonexistent,-1.8,94.37,-47.14,1.46,5109.29,no
174,63,technician,married,unknown,no,no,no,cellular,mar,mon,99,2,2,2,success,-1.8,97.75,-33.44,0.66,4993.67,yes
175,39,blue-collar,married,basic.4y,no,no,no,telephone,jun,tue,5007,5,115,1,nonexistent,1.4,93.96,-36.11,1.81,4815.94,no
176,37,technician,married,professional.course,unknown,yes,no,cellular,aug,fri,4286,7,346,3,success,1.4,97.77,-33.86,0.92,5193.31,no
177,31,admin.,single,high.school,no,no,no,cellular,jun,fri,3059,2,988,6,success,-2.9,98.68,-32.5,2.33,4852.08,no
178,52,admin.,married,high.school,no,no,no,cellular,may,tue,3856,3,511,5,nonexistent,-1.8,91.19,-31.29,4.46,5084.2,no
179,40,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,4910,3,889,6,failure,1.1,91.16,-46.14,2.02,4915.57,yes
180,46,technician,married,university.degree,unknown,yes,no,cellular,aug,mon,2208,0,90,5,failure,1.4,95.52,-42.49,1.96,5272.25,no
181,51,management,divorced,high.school,no,unknown,unknown,telephone,may,mon,1251,3,552,0,nonexistent,1.1,94.46,-30.48,3.63,5170.52,no
182,48,services,married,high.school,no,no,yes,telephone,may,tue,144,1,1003,0,nonexistent,1.1,92.77,-37.81,4.72,5196.19,no
183,59,self-employed,married,university.degree,unknown,unknown,unknown,telephone,jul,mon,676,1,951,0,nonexistent,1.4,91.66,-41.46,4.75,5086.94,no
184,39,admin.,married,university.degree,no,yes,no,cellular,may,mon,170,2,956,0,nonexistent,-1.8,95.67,-47.72,1.29,4946.12,no
185,41,entrepreneur,married,basic.9y,no,yes,no,cellular,apr,fri,1916,1,177,6,nonexistent,-1.8,97.5,-48.92,1.96,5093.12,no
186,38,services,divorced,high.school,no,yes,no,cellular,apr,wed,1317,1,593,6,success,-1.8,92.11,-41,2.23,5055.59,no
187,49,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,wed,210,2,964,0,nonexistent,1.1,95.59,-37.71,4.62,5300.01,no
188,33,student,single,university.degree,no,no,no,cellular,aug,thu,886,0,293,4,nonexistent,1.4,94.2,-43.83,3.19,5155.9,no
189,24,blue-collar,married,basic.9y,no,no,no,telephone,jul,mon,174,0,1007,0,nonexistent,1.4,98.61,-44.45,5.19,5405.85,no
190,48,technician,married,university.degree,no,yes,no,cellular,aug,wed,566,1,999,0,nonexistent,1.4,91.48,-36.38,4.89,5364.03,no
191,42,technician,single,professional.course,no,yes,no,telephone,may,fri,4532,1,171,3,nonexistent,1.1,95.63,-40.56,4.72,4906.92,no
192,56,housemaid,married,basic.4y,no,no,no,cellular,jul,wed,189,1,971,0,nonexistent,1.4,97.95,-42.78,5.11,5264.69,no
193,41,management,married,basic.9y,no,no,no,telephone,jul,thu,91,1,966,0,nonexistent,1.4,94.1,-42.61,5.14,5259.46,no
194,31,admin.,single,university.degree,no,yes,no,telephone,jun,thu,327,0,995,0,nonexistent,-1.7,93.86,-41.79,0.72,5071.46,no
195,57,technician,married,professional.course,no,yes,no,telephone,may,fri,1442,1,1036,0,nonexistent,1.1,95.21,-37.78,4.75,5320.77,no
196,59,unknown,married,unknown,yes,no,no,cellular,oct,wed,3570,22,452,1,success,1.4,97.63,-29.51,0.66,5125.84,yes
